method,validity_rate,validity_rate_std,avg_confidence,std_confidence,avg_l2_distance,std_l2_distance,avg_euclidean_dist_zscore,std_euclidean_dist_zscore,avg_manhattan_distance,std_manhattan_distance,avg_pct_changed,std_pct_changed,avg_normalized_distance,std_normalized_distance,avg_l0_norm,std_l0_norm,avg_compactness,std_compactness,avg_temporal_consistency,std_temporal_consistency,avg_range_validity,std_range_validity,avg_autocorr_preservation,std_autocorr_preservation,avg_validity,std_validity,avg_sparsity,std_sparsity,avg_keane_validity,std_keane_validity,avg_keane_proximity,std_keane_proximity,avg_keane_compactness,std_keane_compactness,avg_time,std_time,avg_n_iter,std_n_iter
distance_n1_cycle,100.0,0.0,0.7040439620614052,0.14946471305634515,0.8406985849142075,0.22553440168176025,57.90836572647095,9.540255662540767,37.36159002780914,13.078180656076253,99.95250000000001,0.03991061441342805,0.10089381544926586,0.02413208285955757,4997.625,1.9955307206712847,0.742775,0.12833614066193513,1.0,0.0,0.99265,0.019271518584985183,0.9730872758054794,0.04238649906236057,1.0,0.0,0.0004750000000000032,0.0003991061441342647,1.0,0.0,0.8406985849142075,0.22553440168176025,0.742775,0.12833614066193513,0.4507269561290741,0.06570289285183163,26.25,6.273527146441853
distance_n2_cycle,100.0,0.0,0.7627816572785378,0.15630575885146103,0.8297225087881088,0.2408012923655061,57.59234142303467,17.47842959648723,36.68481636047363,13.499125936982585,99.97,0.03380617018913814,0.10043039109234139,0.03179228851659856,4998.5,1.6903085094570331,0.7484500000000001,0.13608084781796867,1.0,0.0,0.98755,0.01770189658926812,0.9700686831166261,0.05706975437048661,1.0,0.0,0.00029999999999998084,0.0003380617018914022,1.0,0.0,0.8297225087881088,0.2408012923655061,0.7484500000000001,0.13608084781796867,0.47271132469177246,0.07600898744378318,25.0,7.406560798180411
distance_n3_cycle,100.0,0.0,0.8451461866497993,0.18658019168514337,0.73546302318573,0.28011157606982406,48.91153001785278,10.408692162972885,34.141653060913086,15.97861202695215,99.9775,0.027124053637209655,0.08747284602612297,0.032858757553160714,4998.875,1.3562026818605375,0.7610999999999999,0.15293520570116334,1.0,0.0,0.992075,0.014272025584538257,0.9728568433925211,0.04592175806700583,1.0,0.0,0.0002249999999999891,0.00027124053637211123,1.0,0.0,0.73546302318573,0.28011157606982406,0.7610999999999999,0.15293520570116334,0.4476974904537201,0.07206063135444897,22.5,7.483314773547883
distance_n5_cycle,100.0,0.0,0.8869514763355255,0.13626756704249315,0.7564601302146912,0.25809646600605995,51.75202226638794,11.61640154905843,34.57861375808716,14.417611361085005,99.9625,0.0345377640106754,0.09219087680845453,0.035292658861469484,4998.125,1.7268882005337975,0.7666999999999999,0.12263203962609912,1.0,0.0,0.98795,0.017192274012308145,0.9840546182513352,0.021268131860702092,1.0,0.0,0.00037500000000000033,0.0003453776401067708,1.0,0.0,0.7564601302146912,0.25809646600605995,0.7666999999999999,0.12263203962609912,0.4666293263435364,0.06554317266106598,22.625,6.738747234146291
variance_n1_cycle,100.0,0.0,0.6528003588318825,0.21675517564011493,0.9197913706302643,0.3426812899083268,61.32428312301636,12.217231445912278,42.85696458816528,19.172468319528672,99.9925,0.01488047618285394,0.1098473958312067,0.04058410643894733,4999.625,0.7440238091428449,0.726275,0.17777600472826152,1.0,0.0,0.9901500000000001,0.013703701272701046,0.9347629629473262,0.10972715602793492,1.0,0.0,7.499999999999174e-05,0.0001488047618285526,1.0,0.0,0.9197913706302643,0.3426812899083268,0.726275,0.17777600472826152,5.457070529460907,0.23110716197224995,14.75,21.472573869273997
variance_n2_cycle,100.0,0.0,0.8012800142168999,0.22564968516959125,1.0072279423475266,0.3969793917820723,67.40307235717773,19.477426777335744,48.04851818084717,22.662987203266436,99.98,0.023904572186686516,0.1202407700176126,0.04722364692834363,4999.0,1.1952286093343936,0.6893499999999999,0.19436571567169822,1.0,0.0,0.97405,0.029592228709578457,0.9150030800011147,0.1591880759362436,1.0,0.0,0.00019999999999999185,0.00023904572186687892,1.0,0.0,1.0072279423475266,0.3969793917820723,0.6893499999999999,0.19436571567169822,5.451036036014557,0.15396088322252283,13.0,22.26464205223802
variance_n3_cycle,100.0,0.0,0.8426312878727913,0.2021309508439097,1.0581524595618248,0.41215128589041977,71.17040681838989,23.74472409923978,50.85798513889313,23.14693298934901,99.9775,0.022519832529190965,0.1267817170367298,0.05136568943857937,4998.875,1.1259916264596033,0.67445,0.19595045292114024,1.0,0.0,0.972675,0.029041042385857013,0.9179512707129551,0.160513446043359,1.0,0.0,0.0002249999999999891,0.00022519832529192227,1.0,0.0,1.0581524595618248,0.41215128589041977,0.67445,0.19595045292114024,5.416382193565369,0.08752204383551483,10.0,13.721724173212136
variance_n5_cycle,100.0,0.0,0.8769945725798607,0.18165085892712335,1.044183038175106,0.40964458779349106,70.8065972328186,26.520578607445767,50.01531755924225,22.420468838431226,99.9825,0.022519832529191416,0.12634559817376464,0.05558439590934803,4999.125,1.1259916264596033,0.68075,0.18198517208042764,1.0,0.0,0.965975,0.025861485428556267,0.9389840327291593,0.1115593484193298,1.0,0.0,0.0001749999999999946,0.0002251983252919258,1.0,0.0,1.044183038175106,0.40964458779349106,0.68075,0.18198517208042764,5.422020494937897,0.0848469125297698,3.125,1.7268882005337975
extremes_n1_cycle,100.0,0.0,0.6741341017186642,0.21322417787532186,0.8683850765228271,0.18677149641014848,60.91935920715332,11.253048707294038,38.242616176605225,12.689976998296267,99.9775,0.022519832529190965,0.10521718687437998,0.022030956999127382,4998.875,1.1259916264596033,0.736725,0.13275941451685128,1.0,0.0,0.9894499999999999,0.02124866382353758,0.9655053397857544,0.04820629230417324,1.0,0.0,0.0002249999999999891,0.00022519832529192227,1.0,0.0,0.8683850765228271,0.18677149641014848,0.736725,0.13275941451685128,1.0893790125846863,0.4012389566506138,97.0,33.34666400106613
extremes_n2_cycle,100.0,0.0,0.7027278058230877,0.1641037004323545,0.8892111293971539,0.2580450625863429,62.27399921417236,20.92074044122504,38.92096447944641,15.639503057922429,99.98,0.021380899352993497,0.10891963508903185,0.039437023429980934,4999.0,1.0690449676496976,0.735475,0.1462427702730732,1.0,0.0,0.982175,0.021276261083994188,0.9662047684727277,0.05418860902156443,1.0,0.0,0.00019999999999999185,0.00021380899352994563,1.0,0.0,0.8892111293971539,0.2580450625863429,0.735475,0.1462427702730732,0.9822686314582825,0.3143241161874381,90.75,35.297713402266886
