method,validity_rate,validity_rate_std,avg_confidence,std_confidence,avg_l2_distance,std_l2_distance,avg_euclidean_dist_zscore,std_euclidean_dist_zscore,avg_manhattan_distance,std_manhattan_distance,avg_pct_changed,std_pct_changed,avg_normalized_distance,std_normalized_distance,avg_l0_norm,std_l0_norm,avg_compactness,std_compactness,avg_temporal_consistency,std_temporal_consistency,avg_range_validity,std_range_validity,avg_autocorr_preservation,std_autocorr_preservation,avg_validity,std_validity,avg_sparsity,std_sparsity,avg_keane_validity,std_keane_validity,avg_keane_proximity,std_keane_proximity,avg_keane_compactness,std_keane_compactness,avg_time,std_time,avg_n_iter,std_n_iter
distance_n1_cycle,100.0,0.0,0.7040439620614052,0.14946471305634515,0.8406985849142075,0.22553440168176025,57.90836572647095,9.540255662540767,37.36159002780914,13.078180656076253,99.95250000000001,0.03991061441342805,0.10089381544926586,0.02413208285955757,4997.625,1.9955307206712847,0.742775,0.12833614066193513,1.0,0.0,0.99265,0.019271518584985183,0.9730872758054794,0.04238649906236057,1.0,0.0,0.0004750000000000032,0.0003991061441342647,1.0,0.0,0.8406985849142075,0.22553440168176025,0.742775,0.12833614066193513,0.4897536039352417,0.1238938453825752,26.25,6.273527146441853
multi_nun_cycle_n2,100.0,0.0,0.7627816572785378,0.15630575885146103,0.8297225087881088,0.2408012923655061,57.59234142303467,17.47842959648723,36.68481636047363,13.499125936982585,99.97,0.03380617018913814,0.10043039109234139,0.03179228851659856,4998.5,1.6903085094570331,0.7484500000000001,0.13608084781796867,1.0,0.0,0.98755,0.01770189658926812,0.9700686831166261,0.05706975437048661,1.0,0.0,0.00029999999999998084,0.0003380617018914022,1.0,0.0,0.8297225087881088,0.2408012923655061,0.7484500000000001,0.13608084781796867,0.4619322717189789,0.10207848627053183,25.0,7.406560798180411
multi_nun_closest_n2,100.0,0.0,0.6925421953201294,0.12422665851329484,0.9015785455703735,0.2892863198342634,62.265024185180664,13.493618378993583,40.43510460853577,18.403668879043803,99.97000000000001,0.023904572186688212,0.11039692394188946,0.04017839721061788,4998.5,1.1952286093343936,0.7241500000000001,0.1530072547299637,1.0,0.0,0.988675,0.018460749868688602,0.9719346332422704,0.05537982387502753,1.0,0.0,0.0002999999999999947,0.0002390457218668922,1.0,0.0,0.9015785455703735,0.2892863198342634,0.7241500000000001,0.1530072547299637,0.4783935248851776,0.10628535877220151,25.375,6.759913355319621
multi_nun_cycle_n3,100.0,0.0,0.8451461866497993,0.18658019168514337,0.73546302318573,0.28011157606982406,48.91153001785278,10.408692162972885,34.141653060913086,15.97861202695215,99.9775,0.027124053637209655,0.08747284602612297,0.032858757553160714,4998.875,1.3562026818605375,0.7610999999999999,0.15293520570116334,1.0,0.0,0.992075,0.014272025584538257,0.9728568433925211,0.04592175806700583,1.0,0.0,0.0002249999999999891,0.00027124053637211123,1.0,0.0,0.73546302318573,0.28011157606982406,0.7610999999999999,0.15293520570116334,0.4358087182044983,0.06842744348865383,22.5,7.483314773547883
multi_nun_closest_n3,100.0,0.0,0.6938490867614746,0.12267367814920101,0.9356369078159332,0.30514136344537357,63.804877281188965,11.209851530688011,41.34506344795227,18.643935933884617,99.97250000000001,0.02604940361258627,0.11270978503593398,0.03738739805017345,4998.625,1.3024701806293193,0.7266250000000001,0.15317562049584038,1.0,0.0,0.992225,0.009339585490954979,0.9689778641885705,0.05673825269801457,1.0,0.0,0.00027499999999999747,0.0002604940361258747,1.0,0.0,0.9356369078159332,0.30514136344537357,0.7266250000000001,0.15317562049584038,0.5107831358909607,0.11857817619537325,27.125,8.757649717328764
multi_nun_cycle_n5,100.0,0.0,0.8869514763355255,0.13626756704249315,0.7564601302146912,0.25809646600605995,51.75202226638794,11.61640154905843,34.57861375808716,14.417611361085005,99.9625,0.0345377640106754,0.09219087680845453,0.035292658861469484,4998.125,1.7268882005337975,0.7666999999999999,0.12263203962609912,1.0,0.0,0.98795,0.017192274012308145,0.9840546182513352,0.021268131860702092,1.0,0.0,0.00037500000000000033,0.0003453776401067708,1.0,0.0,0.7564601302146912,0.25809646600605995,0.7666999999999999,0.12263203962609912,0.4647689461708069,0.06023832918298577,22.625,6.738747234146291
multi_nun_closest_n5,100.0,0.0,0.7228067517280579,0.13934594015773039,0.8870020508766174,0.2734561056721765,60.76420974731445,9.533927119587121,38.20183444023132,15.057980767321917,99.97250000000001,0.02604940361258627,0.10603980730803254,0.02854925237193576,4998.625,1.3024701806293193,0.7525000000000001,0.11679623281596027,1.0,0.0,0.9902500000000001,0.009796646656600683,0.9689801916382292,0.05673969922054725,1.0,0.0,0.00027499999999999747,0.0002604940361258747,1.0,0.0,0.8870020508766174,0.2734561056721765,0.7525000000000001,0.11679623281596027,0.5117596983909607,0.0816631602541812,26.375,8.927285621700953
