method,validity_rate,validity_rate_std,avg_confidence,std_confidence,avg_l2_distance,std_l2_distance,avg_euclidean_dist_zscore,std_euclidean_dist_zscore,avg_manhattan_distance,std_manhattan_distance,avg_pct_changed,std_pct_changed,avg_normalized_distance,std_normalized_distance,avg_l0_norm,std_l0_norm,avg_compactness,std_compactness,avg_temporal_consistency,std_temporal_consistency,avg_range_validity,std_range_validity,avg_autocorr_preservation,std_autocorr_preservation,avg_validity,std_validity,avg_sparsity,std_sparsity,avg_keane_validity,std_keane_validity,avg_keane_proximity,std_keane_proximity,avg_keane_compactness,std_keane_compactness,avg_time,std_time,avg_n_iter,std_n_iter
distance,100.0,0.0,0.7040439620614052,0.14946471305634515,0.8406985849142075,0.22553440168176025,57.90836572647095,9.540255662540767,37.36159002780914,13.078180656076253,99.95250000000001,0.03991061441342805,0.10089381544926586,0.02413208285955757,4997.625,1.9955307206712847,0.742775,0.12833614066193513,1.0,0.0,0.99265,0.019271518584985183,0.9730872758054794,0.04238649906236057,1.0,0.0,0.0004750000000000032,0.0003991061441342647,1.0,0.0,0.8406985849142075,0.22553440168176025,0.742775,0.12833614066193513,0.47790446877479553,0.09810770186004436,26.25,6.273527146441853
variance,100.0,0.0,0.6528003588318825,0.21675517564011493,0.9197913706302643,0.3426812899083268,61.32428312301636,12.217231445912278,42.85696458816528,19.172468319528672,99.9925,0.01488047618285394,0.1098473958312067,0.04058410643894733,4999.625,0.7440238091428449,0.726275,0.17777600472826152,1.0,0.0,0.9901500000000001,0.013703701272701046,0.9347629629473262,0.10972715602793492,1.0,0.0,7.499999999999174e-05,0.0001488047618285526,1.0,0.0,0.9197913706302643,0.3426812899083268,0.726275,0.17777600472826152,5.437534809112549,0.09453379271949823,14.75,21.472573869273997
extremes,100.0,0.0,0.6741341017186642,0.21322417787532186,0.8683850765228271,0.18677149641014848,60.91935920715332,11.253048707294038,38.242616176605225,12.689976998296267,99.9775,0.022519832529190965,0.10521718687437998,0.022030956999127382,4998.875,1.1259916264596033,0.736725,0.13275941451685128,1.0,0.0,0.9894499999999999,0.02124866382353758,0.9655053397857544,0.04820629230417324,1.0,0.0,0.0002249999999999891,0.00022519832529192227,1.0,0.0,0.8683850765228271,0.18677149641014848,0.736725,0.13275941451685128,0.967697411775589,0.2291213858127819,97.0,33.34666400106613
coarse_to_fine,100.0,0.0,0.6348371654748917,0.16772268519191402,0.6961312587372959,0.3785746376473866,43.96347784996033,21.70618896343965,34.00061886012554,19.31040616763159,99.915,0.13846092795958384,0.07979179351348992,0.04587418514931173,4995.75,6.923046397979103,0.761175,0.18875373033210685,1.0,0.0,0.9799500000000001,0.03513431371181171,0.9491878899647674,0.1363430013399849,1.0,0.0,0.0008499999999999897,0.0013846092795958204,1.0,0.0,0.6961312587372959,0.3785746376473866,0.761175,0.18875373033210685,0.6356182992458344,0.20422195405311672,64.875,32.60778828965339
