dataset,suite,method,validity,l2_distance,pct_changed,normalized_distance,range_validity,autocorr_preservation,confidence,avg_time,avg_n_iter
FruitFlies,method_ablation,distance,1.0,0.8406985849142075,99.95250000000001,0.10089381544926586,0.99265,0.9730872758054794,0.7040439620614052,0.47790446877479553,26.25
FruitFlies,method_ablation,variance,1.0,0.9197913706302643,99.9925,0.1098473958312067,0.9901500000000001,0.9347629629473262,0.6528003588318825,5.437534809112549,14.75
FruitFlies,method_ablation,extremes,1.0,0.8683850765228271,99.9775,0.10521718687437998,0.9894499999999999,0.9655053397857544,0.6741341017186642,0.967697411775589,97.0
FruitFlies,method_ablation,coarse_to_fine,1.0,0.6961312587372959,99.915,0.07979179351348992,0.9799500000000001,0.9491878899647674,0.6348371654748917,0.6356182992458344,64.875
FruitFlies,nun_ablation,distance_n1_cycle,1.0,0.8406985849142075,99.95250000000001,0.10089381544926586,0.99265,0.9730872758054794,0.7040439620614052,0.4897536039352417,26.25
FruitFlies,nun_ablation,multi_nun_cycle_n2,1.0,0.8297225087881088,99.97,0.10043039109234139,0.98755,0.9700686831166261,0.7627816572785378,0.4619322717189789,25.0
FruitFlies,nun_ablation,multi_nun_closest_n2,1.0,0.9015785455703735,99.97000000000001,0.11039692394188946,0.988675,0.9719346332422704,0.6925421953201294,0.4783935248851776,25.375
FruitFlies,nun_ablation,multi_nun_cycle_n3,1.0,0.73546302318573,99.9775,0.08747284602612297,0.992075,0.9728568433925211,0.8451461866497993,0.4358087182044983,22.5
FruitFlies,nun_ablation,multi_nun_closest_n3,1.0,0.9356369078159332,99.97250000000001,0.11270978503593398,0.992225,0.9689778641885705,0.6938490867614746,0.5107831358909607,27.125
FruitFlies,nun_ablation,multi_nun_cycle_n5,1.0,0.7564601302146912,99.9625,0.09219087680845453,0.98795,0.9840546182513352,0.8869514763355255,0.4647689461708069,22.625
FruitFlies,nun_ablation,multi_nun_closest_n5,1.0,0.8870020508766174,99.97250000000001,0.10603980730803254,0.9902500000000001,0.9689801916382292,0.7228067517280579,0.5117596983909607,26.375
FruitFlies,method_nun_ablation,distance_n1_cycle,1.0,0.8406985849142075,99.95250000000001,0.10089381544926586,0.99265,0.9730872758054794,0.7040439620614052,0.4507269561290741,26.25
FruitFlies,method_nun_ablation,distance_n2_cycle,1.0,0.8297225087881088,99.97,0.10043039109234139,0.98755,0.9700686831166261,0.7627816572785378,0.47271132469177246,25.0
FruitFlies,method_nun_ablation,distance_n3_cycle,1.0,0.73546302318573,99.9775,0.08747284602612297,0.992075,0.9728568433925211,0.8451461866497993,0.4476974904537201,22.5
FruitFlies,method_nun_ablation,distance_n5_cycle,1.0,0.7564601302146912,99.9625,0.09219087680845453,0.98795,0.9840546182513352,0.8869514763355255,0.4666293263435364,22.625
FruitFlies,method_nun_ablation,variance_n1_cycle,1.0,0.9197913706302643,99.9925,0.1098473958312067,0.9901500000000001,0.9347629629473262,0.6528003588318825,5.457070529460907,14.75
FruitFlies,method_nun_ablation,variance_n2_cycle,1.0,1.0072279423475266,99.98,0.1202407700176126,0.97405,0.9150030800011147,0.8012800142168999,5.451036036014557,13.0
FruitFlies,method_nun_ablation,variance_n3_cycle,1.0,1.0581524595618248,99.9775,0.1267817170367298,0.972675,0.9179512707129551,0.8426312878727913,5.416382193565369,10.0
FruitFlies,method_nun_ablation,variance_n5_cycle,1.0,1.044183038175106,99.9825,0.12634559817376464,0.965975,0.9389840327291593,0.8769945725798607,5.422020494937897,3.125
FruitFlies,method_nun_ablation,extremes_n1_cycle,1.0,0.8683850765228271,99.9775,0.10521718687437998,0.9894499999999999,0.9655053397857544,0.6741341017186642,1.0893790125846863,97.0
FruitFlies,method_nun_ablation,extremes_n2_cycle,1.0,0.8892111293971539,99.98,0.10891963508903185,0.982175,0.9662047684727277,0.7027278058230877,0.9822686314582825,90.75
FruitFlies,method_nun_ablation,extremes_n3_cycle,1.0,0.7250856086611748,99.9775,0.09036791858955381,0.9783999999999999,0.9631625107338694,0.7002895437180996,0.7935235500335693,65.375
FruitFlies,method_nun_ablation,extremes_n5_cycle,1.0,0.6662077642977238,99.98,0.08082996924830013,0.979975,0.9700142214654486,0.675618477165699,0.7678540050983429,60.875
FruitFlies,method_nun_ablation,coarse_to_fine_n1_cycle,1.0,0.6961312587372959,99.915,0.07979179351348992,0.9799500000000001,0.9491878899647674,0.6348371654748917,0.6545836627483368,64.875
FruitFlies,method_nun_ablation,coarse_to_fine_n2_cycle,1.0,0.8587720766663551,99.97500000000001,0.10135511322856335,0.979025,0.9429767087602563,0.737442634999752,0.7558583915233612,70.5
FruitFlies,method_nun_ablation,coarse_to_fine_n3_cycle,1.0,0.8183889486826956,99.94500000000001,0.0946321524603237,0.97545,0.9790794895563055,0.6910310685634613,0.693633109331131,66.5
FruitFlies,method_nun_ablation,coarse_to_fine_n5_cycle,1.0,0.7750508952885866,99.93,0.08980330801232207,0.971525,0.9984561332899636,0.7178512066602707,0.6812474429607391,61.625
