method,validity_rate,validity_rate_std,avg_confidence,std_confidence,avg_l2_distance,std_l2_distance,avg_euclidean_dist_zscore,std_euclidean_dist_zscore,avg_manhattan_distance,std_manhattan_distance,avg_pct_changed,std_pct_changed,avg_normalized_distance,std_normalized_distance,avg_l0_norm,std_l0_norm,avg_compactness,std_compactness,avg_temporal_consistency,std_temporal_consistency,avg_range_validity,std_range_validity,avg_autocorr_preservation,std_autocorr_preservation,avg_validity,std_validity,avg_sparsity,std_sparsity,avg_keane_validity,std_keane_validity,avg_keane_proximity,std_keane_proximity,avg_keane_compactness,std_keane_compactness,avg_time,std_time,avg_n_iter,std_n_iter
distance,100.0,0.0,0.6248168647289276,0.12382603194836132,19.239816904067993,7.951830237217473,105.09936237335205,44.40452268855324,888.2889060974121,381.50365623436517,99.99755859375,0.006905339660024878,0.12010676405652418,0.047974548613118645,5119.875,0.3535533905932738,0.09404296875,0.1351163671414509,1.0,0.0,0.9310058593749999,0.027749844387408552,0.6740920023997994,0.250287444384574,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,19.239816904067993,7.951830237217473,0.09404296875,0.1351163671414509,0.5094776749610901,0.20474642586345715,23.5,8.017837257372731
variance,100.0,0.0,0.8479421883821487,0.21233947780126472,25.815611481666565,5.413512234503208,145.91145420074463,32.86424101880903,1174.0206832885742,260.3338283746087,100.0,0.0,0.16502867867221593,0.0267169580456762,5120.0,0.0,0.042236328125,0.0118112744353718,1.0,0.0,0.903125,0.01639495253030584,0.8052559771783285,0.07479045620784869,1.0,0.0,0.0,0.0,1.0,0.0,25.815611481666565,5.413512234503208,0.042236328125,0.0118112744353718,12.37053719162941,2.6641250045893043,18.875,29.147102281849072
extremes,100.0,0.0,0.6126142963767052,0.12002550178959366,17.125508069992065,8.044729079537918,89.85897445678711,30.881231693995264,808.7175788879395,387.44255013320605,99.99755859375,0.006905339660024878,0.10443511556008264,0.04018600599801506,5119.875,0.3535533905932738,0.0808837890625,0.07557461281644755,1.0,0.0,0.9420166015625,0.02976933722559999,0.6133275130900111,0.30920920022319465,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,17.125508069992065,8.044729079537918,0.0808837890625,0.07557461281644755,1.2771221995353699,0.2252356493184671,104.5,42.68154502492015
coarse_to_fine,100.0,0.0,0.6455879434943199,0.09317928924346372,18.421672224998474,5.376605179113846,101.58293342590332,19.784446189714586,877.2818145751953,264.8416093326819,100.0,0.0,0.11593908063286612,0.020889782244597373,5120.0,0.0,0.053564453124999994,0.01569729022173969,1.0,0.0,0.9411376953124999,0.023997889811980214,0.8005324310310022,0.16290487894303787,1.0,0.0,0.0,0.0,1.0,0.0,18.421672224998474,5.376605179113846,0.053564453124999994,0.01569729022173969,1.0230111181735992,0.17318868389857783,98.625,10.350120772242226
