dataset,suite,method,validity,l2_distance,pct_changed,normalized_distance,range_validity,autocorr_preservation,confidence,avg_time,avg_n_iter
FaultDetectionA,method_ablation,distance,1.0,19.239816904067993,99.99755859375,0.12010676405652418,0.9310058593749999,0.6740920023997994,0.6248168647289276,0.5094776749610901,23.5
FaultDetectionA,method_ablation,variance,1.0,25.815611481666565,100.0,0.16502867867221593,0.903125,0.8052559771783285,0.8479421883821487,12.37053719162941,18.875
FaultDetectionA,method_ablation,extremes,1.0,17.125508069992065,99.99755859375,0.10443511556008264,0.9420166015625,0.6133275130900111,0.6126142963767052,1.2771221995353699,104.5
FaultDetectionA,method_ablation,coarse_to_fine,1.0,18.421672224998474,100.0,0.11593908063286612,0.9411376953124999,0.8005324310310022,0.6455879434943199,1.0230111181735992,98.625
FaultDetectionA,nun_ablation,distance_n1_cycle,1.0,19.239816904067993,99.99755859375,0.12010676405652418,0.9310058593749999,0.6740920023997994,0.6248168647289276,0.4888836145401001,23.5
FaultDetectionA,nun_ablation,multi_nun_cycle_n2,1.0,18.834932923316956,99.9951171875,0.11669485311255334,0.932421875,0.6824683547074972,0.6556119546294212,0.48187127709388733,24.125
FaultDetectionA,nun_ablation,multi_nun_closest_n2,1.0,19.437188148498535,99.99755859375,0.12117515075112187,0.9288818359375,0.6814733151967232,0.6303561925888062,0.491536945104599,23.25
FaultDetectionA,nun_ablation,multi_nun_cycle_n3,1.0,19.60279530286789,100.0,0.12133496914110926,0.9282470703125001,0.6625078887348608,0.7307008653879166,0.48351073265075684,24.5
FaultDetectionA,nun_ablation,multi_nun_closest_n3,1.0,20.908917903900146,99.99755859375,0.13040307336233764,0.9201416015624999,0.6897620904516264,0.6561152264475822,0.517648309469223,23.625
FaultDetectionA,nun_ablation,multi_nun_cycle_n5,1.0,19.370978087186813,100.0,0.12008481487574738,0.928759765625,0.6139226936950395,0.6411094143986702,0.514512836933136,24.125
FaultDetectionA,nun_ablation,multi_nun_closest_n5,1.0,20.908917903900146,99.99755859375,0.13040307336233764,0.9201416015624999,0.6897620904516264,0.6561152264475822,0.5504524111747742,23.625
FaultDetectionA,method_nun_ablation,distance_n1_cycle,1.0,19.239816904067993,99.99755859375,0.12010676405652418,0.9310058593749999,0.6740920023997994,0.6248168647289276,0.5381806194782257,23.5
FaultDetectionA,method_nun_ablation,distance_n2_cycle,1.0,18.834932923316956,99.9951171875,0.11669485311255334,0.932421875,0.6824683547074972,0.6556119546294212,0.5131922662258148,24.125
FaultDetectionA,method_nun_ablation,distance_n3_cycle,1.0,19.60279530286789,100.0,0.12133496914110926,0.9282470703125001,0.6625078887348608,0.7307008653879166,0.4965992271900177,24.5
FaultDetectionA,method_nun_ablation,distance_n5_cycle,1.0,19.370978087186813,100.0,0.12008481487574738,0.928759765625,0.6139226936950395,0.6411094143986702,0.6169922649860382,24.125
FaultDetectionA,method_nun_ablation,variance_n1_cycle,1.0,25.815611481666565,100.0,0.16502867867221593,0.903125,0.8052559771783285,0.8479421883821487,12.318612664937973,18.875
FaultDetectionA,method_nun_ablation,variance_n2_cycle,1.0,25.940348267555237,100.0,0.1660001003988798,0.9021240234375,0.7850089010275931,0.8555286452174187,12.527777791023254,19.0
FaultDetectionA,method_nun_ablation,variance_n3_cycle,1.0,26.220117211341858,100.0,0.16796422015762552,0.900341796875,0.773447154724776,0.8681828454136848,12.376102477312088,12.25
FaultDetectionA,method_nun_ablation,variance_n5_cycle,1.0,26.107419848442078,100.0,0.16744391847860826,0.9013916015625,0.8007574821237968,0.8636051565408707,12.46824735403061,11.375
FaultDetectionA,method_nun_ablation,extremes_n1_cycle,1.0,17.125508069992065,99.99755859375,0.10443511556008264,0.9420166015625,0.6133275130900111,0.6126142963767052,1.2845840156078339,104.5
FaultDetectionA,method_nun_ablation,extremes_n2_cycle,1.0,17.09114161133766,100.0,0.10507214316313532,0.940966796875,0.6403025894656433,0.5880221836268902,1.2768823206424713,111.75
FaultDetectionA,method_nun_ablation,extremes_n3_cycle,1.0,18.74522852897644,100.0,0.11841553210552627,0.935498046875,0.6120635462744675,0.6382077485322952,1.3104136884212494,121.25
FaultDetectionA,method_nun_ablation,extremes_n5_cycle,1.0,18.971851110458374,99.99755859375,0.11952442147854292,0.934912109375,0.5783160225401142,0.6088243536651134,1.3501529097557068,120.375
FaultDetectionA,method_nun_ablation,coarse_to_fine_n1_cycle,1.0,18.421672224998474,100.0,0.11593908063286612,0.9411376953124999,0.8005324310310022,0.6455879434943199,0.9851415753364563,98.625
FaultDetectionA,method_nun_ablation,coarse_to_fine_n2_cycle,1.0,18.27736210823059,100.0,0.11455917653762428,0.9405273437499999,0.8074986003669347,0.7596584483981133,0.9898566603660583,103.125
FaultDetectionA,method_nun_ablation,coarse_to_fine_n3_cycle,1.0,17.379052758216858,100.0,0.10880626513326017,0.9444335937499999,0.8249595238736198,0.6293120980262756,0.9981051683425903,102.75
FaultDetectionA,method_nun_ablation,coarse_to_fine_n5_cycle,1.0,17.517928659915924,100.0,0.10947958709352139,0.9437255859375,0.8337806321061365,0.6620840765535831,1.0932050049304962,102.25
