method,validity_rate,validity_rate_std,avg_confidence,std_confidence,avg_l2_distance,std_l2_distance,avg_euclidean_dist_zscore,std_euclidean_dist_zscore,avg_manhattan_distance,std_manhattan_distance,avg_pct_changed,std_pct_changed,avg_normalized_distance,std_normalized_distance,avg_l0_norm,std_l0_norm,avg_compactness,std_compactness,avg_temporal_consistency,std_temporal_consistency,avg_range_validity,std_range_validity,avg_autocorr_preservation,std_autocorr_preservation,avg_validity,std_validity,avg_sparsity,std_sparsity,avg_keane_validity,std_keane_validity,avg_keane_proximity,std_keane_proximity,avg_keane_compactness,std_keane_compactness,avg_time,std_time,avg_n_iter,std_n_iter
distance_n1_cycle,100.0,0.0,0.6248168647289276,0.12382603194836132,19.239816904067993,7.951830237217473,105.09936237335205,44.40452268855324,888.2889060974121,381.50365623436517,99.99755859375,0.006905339660024878,0.12010676405652418,0.047974548613118645,5119.875,0.3535533905932738,0.09404296875,0.1351163671414509,1.0,0.0,0.9310058593749999,0.027749844387408552,0.6740920023997994,0.250287444384574,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,19.239816904067993,7.951830237217473,0.09404296875,0.1351163671414509,0.4888836145401001,0.14648582392719967,23.5,8.017837257372731
multi_nun_cycle_n2,100.0,0.0,0.6556119546294212,0.12020631596184861,18.834932923316956,7.96740199044983,101.8563665151596,40.92685954791472,867.0306444168091,384.39342962433597,99.9951171875,0.009041211911841323,0.11669485311255334,0.045288596822111914,5119.75,0.4629100498862757,0.100634765625,0.1502330150901186,1.0,0.0,0.932421875,0.025459641776250496,0.6824683547074972,0.26682396440048495,1.0,0.0,4.88281250000111e-05,9.041211911843377e-05,1.0,0.0,18.834932923316956,7.96740199044983,0.100634765625,0.1502330150901186,0.48187127709388733,0.14070434271272467,24.125,8.184261900571295
multi_nun_closest_n2,100.0,0.0,0.6303561925888062,0.12725385353152796,19.437188148498535,8.135314151843074,105.82501602172852,44.21160905371789,895.1132774353027,389.1391340666672,99.99755859375,0.006905339660024878,0.12117515075112187,0.048467230861867064,5119.875,0.3535533905932738,0.093994140625,0.13513978815352837,1.0,0.0,0.9288818359375,0.029097805347561397,0.6814733151967232,0.25585094177232887,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,19.437188148498535,8.135314151843074,0.093994140625,0.13513978815352837,0.491536945104599,0.14689758978063594,23.25,7.923743703939085
multi_nun_cycle_n3,100.0,0.0,0.7307008653879166,0.1261849704640278,19.60279530286789,8.39254401322761,106.09533226490021,44.166298239180385,893.2111806869507,398.25933920598214,100.0,0.0,0.12133496914110926,0.04782959275881043,5120.0,0.0,0.11279296875,0.18495249605963315,1.0,0.0,0.9282470703125001,0.0275504261754339,0.6625078887348608,0.355489847883404,1.0,0.0,0.0,0.0,1.0,0.0,19.60279530286789,8.39254401322761,0.11279296875,0.18495249605963315,0.48351073265075684,0.13638097659285459,24.5,8.228869042236953
multi_nun_closest_n3,100.0,0.0,0.6561152264475822,0.10618988343377761,20.908917903900146,8.960951788959177,114.40957450866699,51.96836510671149,945.548168182373,414.84919451398355,99.99755859375,0.006905339660024878,0.13040307336233764,0.05448860264359146,5119.875,0.3535533905932738,0.0951416015625,0.134536045939012,1.0,0.0,0.9201416015624999,0.03518389871051853,0.6897620904516264,0.2673364584946238,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,20.908917903900146,8.960951788959177,0.0951416015625,0.134536045939012,0.517648309469223,0.1188745143993841,23.625,8.122939299117215
multi_nun_cycle_n5,100.0,0.0,0.6411094143986702,0.13171319599600864,19.370978087186813,8.237365901902102,104.90466964244843,43.287101764322465,889.4269409179688,399.9836711421784,100.0,0.0,0.12008481487574738,0.047372380586104976,5120.0,0.0,0.107568359375,0.163395645630007,1.0,0.0,0.928759765625,0.027690079928953233,0.6139226936950395,0.35653758864423485,1.0,0.0,0.0,0.0,1.0,0.0,19.370978087186813,8.237365901902102,0.107568359375,0.163395645630007,0.514512836933136,0.12098350395660172,24.125,8.061150219239366
multi_nun_closest_n5,100.0,0.0,0.6561152264475822,0.10618988343377761,20.908917903900146,8.960951788959177,114.40957450866699,51.96836510671149,945.548168182373,414.84919451398355,99.99755859375,0.006905339660024878,0.13040307336233764,0.05448860264359146,5119.875,0.3535533905932738,0.0951416015625,0.134536045939012,1.0,0.0,0.9201416015624999,0.03518389871051853,0.6897620904516264,0.2673364584946238,1.0,0.0,2.441406250000555e-05,6.905339660026449e-05,1.0,0.0,20.908917903900146,8.960951788959177,0.0951416015625,0.134536045939012,0.5504524111747742,0.12997893329815485,23.625,8.122939299117215
