method,success_rate,avg_confidence,avg_l2_distance,avg_pct_changed,avg_normalized_distance,avg_temporal_consistency,avg_range_validity,avg_autocorr_preservation,avg_keane_validity,avg_keane_proximity,avg_keane_compactness,avg_time
distance_n1_cycle,100.0,0.7089141830801964,17.153101205825806,100.0,0.1047646312288128,1.0,0.939599609375,0.7575092734316311,1.0,17.153101205825806,0.0684326171875,0.683434396982193
multi_nun_cycle_n2,100.0,0.6542186588048935,15.81916069984436,100.0,0.0967277401139362,1.0,0.9454833984375,0.6855133459215652,1.0,15.81916069984436,0.07431640625,0.736100822687149
multi_nun_closest_n2,100.0,0.712331511080265,17.475408792495728,100.0,0.10697957589407062,1.0,0.9388916015625,0.7008796037589997,1.0,17.475408792495728,0.068212890625,0.7766078114509583
multi_nun_cycle_n3,100.0,0.6926377601921558,15.65912938117981,100.0,0.09781939212077789,1.0,0.9467041015625,0.7260794364603709,1.0,15.65912938117981,0.07646484375000001,0.8397952914237976
multi_nun_closest_n3,100.0,0.7184053361415863,18.023831605911255,100.0,0.11084935138805463,1.0,0.9373046875,0.7143311628004001,1.0,18.023831605911255,0.0676513671875,0.8648649156093597
multi_nun_cycle_n5,100.0,0.6814174428582191,16.28166973590851,100.0,0.10129703053224111,1.0,0.9413818359374999,0.7080786822884431,1.0,16.28166973590851,0.0747802734375,0.8634136021137238
multi_nun_closest_n5,100.0,0.6921880096197128,17.937448859214783,100.0,0.11058054724159903,1.0,0.93544921875,0.8302722327201888,1.0,17.937448859214783,0.0675537109375,0.8137414455413818
