method,n_total,validity_rate,validity_rate_std,elapsed_mean,elapsed_std,l2_norm_mean,l2_norm_std,normalized_distance_mean,normalized_distance_std,sparsity_mean,sparsity_std,range_validity_mean,range_validity_std,autocorr_mean,autocorr_std,keane_validity_mean,keane_validity_std,keane_proximity_mean,keane_proximity_std,keane_compactness_mean,keane_compactness_std,temporal_consistency_mean,temporal_consistency_std,confidence_mean,confidence_std,n_iter_mean,n_iter_std
glacier,50,1.0,0.0,1.4563617181777955,0.16329270561094236,8.514757173061371,1.7655752689134134,0.04824973608604836,0.018104312506713054,0.000421875000000016,0.00029359255441887286,0.93448828125,0.03933593888539154,0.9565095848287685,0.04824481916179599,1.0,0.0,8.514757173061371,1.7655752689134134,0.67843359375,0.11920535060419227,1.0,0.0,0.5759287118911743,0.00011174639776761837,,
imfact_default,50,1.0,0.0,0.42371469497680664,0.24391591913803415,18.924456136226652,5.9804040890558365,0.10558582933796855,0.04404334770848073,7.812500000001776e-06,3.866184838324265e-05,0.9415117187500001,0.025042197290456123,0.6789365722532797,0.27147728047869446,1.0,0.0,18.924456136226652,5.9804040890558365,0.0648828125,0.023713990148911783,1.0,0.0,0.44324391782283784,0.05548377272517027,26.54,9.098575802434857
native_guide,50,1.0,0.0,7.615725874900818,3.383788145894928,20.275951709747314,3.1780192832384633,0.11704213256704687,0.04405329174453955,0.4220703125,0.11464719145339455,0.9239296874999999,0.025318445039526946,0.8247210742475833,0.1514402282627822,1.0,0.0,20.275951709747314,3.1780192832384633,0.44707421875000003,0.10997609439606901,1.0,0.0,0.45141021847724916,0.07045502606906984,,
wachter,50,0.54,0.5034574339058885,3.3354483079910278,2.983402372504125,15.882849746280247,10.763056963613238,0.06437190763758427,0.045846248814837585,1.4467592592595881e-05,5.212505006677199e-05,0.9374565972222222,0.03890549627671339,0.804083558675411,0.23270907078237832,1.0,0.0,15.882849746280247,10.763056963613238,0.14089265046296295,0.06427827089101931,1.0,0.0,0.46851785094649706,0.09904744169238634,,
