config,n_total,validity_rate,l2_norm_mean,normalized_distance_mean,n_components_changed_mean,range_validity_mean,autocorr_mean,temporal_consistency_mean,confidence_mean,elapsed_mean,n_errors
imfact_baseline,30,1.0,22.232510344187418,0.1873659607775327,4.633333333333334,0.9518666666666667,0.9594263798211613,1.0,0.7007206638654073,0.011701043446858723,0
hungarian_matching,30,1.0,23.693428548177085,0.19998770677773853,3.3,0.94,0.9586229209561374,1.0,0.7033076206843059,0.011682581901550294,0
composite_reference,30,0.8333333333333334,24.908650056521097,0.20984328796445703,2.7666666666666666,0.9134666666666666,0.9589866957541402,1.0,0.7105987211068471,0.015335456530253092,0
fourier_decomposition,30,0.8333333333333334,24.26732680002848,0.20461865746890093,2.4,0.9320666666666667,0.9589346352971494,1.0,0.6953138748804728,0.011115074157714844,0
