config,n_total,validity_rate,l2_norm_mean,normalized_distance_mean,n_components_changed_mean,range_validity_mean,autocorr_mean,temporal_consistency_mean,confidence_mean,elapsed_mean,n_errors
imfact_baseline,30,0.9666666666666667,9.101183859507243,0.19498412184298178,3.6333333333333333,0.9255208333333333,0.9638997876619043,1.0,0.44600603977839154,0.012022439638773601,0
hungarian_matching,30,1.0,8.181992030143737,0.17255123198833952,2.5,0.92890625,0.9816081621315907,1.0,0.4586021363735199,0.00808096726735433,0
composite_reference,30,0.7666666666666667,9.328372073173522,0.19762427143787062,3.1666666666666665,0.9127604166666666,0.970595246033577,1.0,0.4827939142783483,0.014941151936848958,0
fourier_decomposition,30,0.6666666666666666,11.43620743751526,0.24030412325593176,2.2666666666666666,0.9333333333333333,0.7921870301667344,1.0,0.47383277813593544,0.008401068051656087,0
