method,success_rate,avg_confidence,avg_l2_distance,avg_pct_changed,avg_normalized_distance,avg_temporal_consistency,avg_range_validity,avg_autocorr_preservation,avg_keane_validity,avg_keane_proximity,avg_keane_compactness,avg_time
distance,100.0,0.7764517068862915,0.641517186537385,99.99000000000001,0.1387974244199355,1.0,0.998,0.9648524975280647,1.0,0.641517186537385,0.6649,3.9824258685112
fingerprint,100.0,0.7764517068862915,0.641517186537385,99.99000000000001,0.1387974244199355,1.0,0.998,0.9648524975280647,1.0,0.641517186537385,0.6649,3.49436953663826
variance,100.0,0.8967367336153984,0.6311277858912945,99.99000000000001,0.1356585896377353,1.0,0.99995,0.9810510183621597,1.0,0.6311277858912945,0.6619999999999999,8.922416597604752
extremes,100.0,0.6270599253475666,0.5489782765507698,99.97,0.11865661691195686,1.0,0.9933500000000001,0.8238612166823327,1.0,0.5489782765507698,0.7177,4.432537287473679
maxmin,100.0,0.6270599253475666,0.5489782765507698,99.97,0.11865661691195686,1.0,0.9933500000000001,0.8238612166823327,1.0,0.5489782765507698,0.7177,3.9925584495067596
coarse_to_fine,100.0,0.752277098596096,0.6085655074566603,99.97500000000001,0.1255375971341523,1.0,0.99875,0.9662971850921394,1.0,0.6085655074566603,0.6758,3.83937668800354
