method,success_rate,avg_confidence,avg_l2_distance,avg_pct_changed,avg_normalized_distance,avg_temporal_consistency,avg_range_validity,avg_autocorr_preservation,avg_keane_validity,avg_keane_proximity,avg_keane_compactness,avg_time
distance_n1_cycle,100.0,0.7764517068862915,0.641517186537385,99.99000000000001,0.1387974244199355,1.0,0.998,0.9648524975280647,1.0,0.641517186537385,0.6649,4.088093250989914
multi_nun_cycle_n2,100.0,0.8453484550118446,0.6230159066617489,99.98,0.1324089659077195,1.0,0.99785,0.9733462384530825,1.0,0.6230159066617489,0.6833,3.573415070772171
multi_nun_closest_n2,100.0,0.7197382003068924,0.6715664882212877,99.98500000000001,0.1433390803058991,1.0,0.9979,0.9759901182335102,1.0,0.6715664882212877,0.66205,3.9146634340286255
multi_nun_cycle_n3,100.0,0.8749771267175674,0.5705142430961132,99.995,0.12656752508267927,1.0,0.99635,0.9639766945558661,1.0,0.5705142430961132,0.6973499999999999,3.693709522485733
multi_nun_closest_n3,100.0,0.7576913684606552,0.6669485177844763,99.98500000000001,0.14289615211720785,1.0,0.9979,0.9740938573903972,1.0,0.6669485177844763,0.662,3.7736922800540924
multi_nun_cycle_n5,100.0,0.9740895107388496,0.6354147605597973,99.995,0.15256340519607864,1.0,0.98235,0.9609416217472373,1.0,0.6354147605597973,0.6889000000000001,3.6791442036628723
multi_nun_closest_n5,100.0,0.8426624611020088,0.7342434767633677,99.98500000000001,0.16371386677569758,1.0,0.988,0.9744343644839635,1.0,0.7342434767633677,0.6384000000000001,3.7163241803646088
