config,n_total,validity_rate,l2_norm_mean,normalized_distance_mean,n_components_changed_mean,range_validity_mean,autocorr_mean,temporal_consistency_mean,confidence_mean,elapsed_mean,n_errors
imfact_baseline,30,1.0,11.111439259847005,0.3152783413480841,4.4,0.89453125,0.9969840899536135,1.0,0.46776554783185326,0.010785667101542155,0
hungarian_matching,30,1.0,11.573518101374308,0.3288101011427274,2.7666666666666666,0.8333333333333334,0.9748338068114056,1.0,0.4611990382273992,0.00991808573404948,0
composite_reference,30,0.7666666666666667,12.339618094762166,0.35010762002997786,2.7666666666666666,0.86015625,0.9459343722111467,1.0,0.43602785269419353,0.018177994092305503,0
fourier_decomposition,30,1.0,13.678824122746786,0.38802967332535043,2.2333333333333334,0.8848958333333333,0.92929771441758,1.0,0.448761510848999,0.009766650199890137,0
